,GoalSetting,StrategicPlanning,SelfEvaluation,TaskStrategies,Elaboration,HelpSeeking,only lecture,Atry to lecture,explore,only asessment,Lcomplete to Atry,lecture to Acomplete,hrs,prior_exp,crs_str,crs_fin,int_topic,int_assess,edu,age,isfemale,emp_student,emp_job,days_act,num_events,num_ses,Gano
200,1.75,2.25,2.0,2.5,2.66666666666667,1.5,0,4,5,3,0,0,2,1,0,0,1,1,3,18,1,0,1,7,1,17,0
201,3.0,2.5,3.0,2.5,2.0,1.25,0,4,0,0,0,0,6,1,2,1,1,1,3,22,0,0,1,2,1,2,0
202,2.5,2.0,2.66666666666667,2.5,2.33333333333333,2.0,3,4,5,9,8,0,5,1,1,0,1,1,3,20,0,1,0,7,1,19,0
203,2.25,2.25,2.33333333333333,2.66666666666667,2.33333333333333,1.25,0,4,0,0,0,0,5,0,1,1,1,1,6,29,0,0,1,2,1,8,0
204,3.25,1.5,2.0,2.83333333333333,3.66666666666667,0.0,0,4,6,0,0,0,6,1,4,4,1,1,3,19,0,1,0,8,9,13,0
205,2.0,2.75,2.33333333333333,3.0,3.0,1.0,0,4,0,3,0,0,4,0,1,1,1,0,2,34,0,0,1,7,2,14,0
206,2.5,2.75,2.33333333333333,1.66666666666667,2.0,2.0,4,5,5,26,0,0,3,0,0,0,1,1,5,22,0,1,0,10,3,31,0
207,3.0,2.0,2.33333333333333,2.5,2.33333333333333,0.75,2,5,4,0,0,0,6,1,3,0,1,1,5,40,0,0,1,9,1,11,0
208,2.0,2.0,2.0,2.0,2.0,2.0,0,6,5,3,0,0,5,1,0,0,1,1,4,24,0,0,1,15,4,35,0
209,2.75,2.5,2.33333333333333,2.0,3.0,1.75,1,6,0,0,4,0,6,0,0,0,1,1,3,22,0,0,1,4,36,6,0
210,2.75,2.75,2.66666666666667,2.5,3.0,0.25,3,6,0,4,0,0,7,0,1,1,1,1,4,32,1,0,0,6,4,13,0
211,2.25,2.5,3.0,2.0,2.66666666666667,1.0,0,9,4,6,0,0,6,1,7,4,1,1,4,30,0,0,0,7,1,14,0
212,2.0,2.5,3.0,2.33333333333333,2.66666666666667,1.5,0,9,4,0,0,0,3,0,0,0,0,0,3,42,0,0,0,5,1,9,0
213,2.0,2.25,2.33333333333333,2.66666666666667,2.33333333333333,2.0,0,9,0,3,0,0,2,0,0,0,1,1,3,24,0,1,0,4,3,5,0
214,1.5,2.75,1.33333333333333,2.16666666666667,3.0,0.5,0,45,7,4,0,0,5,1,10,0,0,1,4,28,0,0,0,10,92,11,1
215,3.0,2.75,3.0,2.66666666666667,3.33333333333333,1.5,21,45,15,6,0,0,5,1,6,2,1,1,2,43,0,1,0,9,296,28,1
216,4.0,4.0,3.66666666666667,3.33333333333333,4.0,1.0,26,45,21,4,0,0,2,1,6,6,1,1,3,40,0,0,1,16,337,21,1
217,4.0,3.25,3.0,3.33333333333333,3.0,2.5,48,45,5,0,13,0,6,1,2,2,1,1,6,45,0,0,1,20,364,35,1
218,2.5,3.75,2.33333333333333,3.5,3.66666666666667,3.0,6,45,39,3,0,0,5,1,0,0,1,1,4,21,0,1,0,10,195,16,1
219,3.75,3.0,3.66666666666667,3.5,3.0,2.5,25,45,4,12,0,0,6,1,1,1,1,1,4,22,0,1,0,17,336,49,1
220,4.0,3.75,4.0,4.0,4.0,3.5,0,45,7,23,0,0,2,1,0,0,1,1,5,31,0,0,1,7,216,16,1
221,4.0,4.0,4.0,4.0,4.0,4.0,28,45,0,6,0,0,5,0,4,4,1,1,3,31,0,0,1,12,303,25,1
222,4.0,4.0,4.0,4.0,4.0,3.0,43,45,0,3,4,0,3,0,4,4,1,1,5,35,0,0,1,15,279,51,1
223,3.5,4.0,4.0,3.83333333333333,3.33333333333333,3.0,5,49,34,0,0,0,2,1,1,1,1,1,5,18,0,1,0,14,328,21,1
224,3.75,4.0,4.0,4.0,4.0,3.25,9,67,7,6,0,0,4,1,4,3,1,1,3,63,0,0,1,6,189,17,1
225,2.75,3.75,4.0,4.0,4.0,1.5,14,67,12,3,0,0,6,0,2,2,1,1,3,27,0,0,1,17,271,29,1
226,2.0,2.5,2.33333333333333,2.5,2.33333333333333,2.0,21,72,14,17,0,10,10,0,5,5,1,1,4,45,0,0,1,12,333,39,1
227,1.5,1.5,2.33333333333333,2.5,2.0,1.75,29,72,0,17,0,0,4,0,4,3,1,0,4,50,0,0,1,17,256,47,1
228,3.0,2.5,3.0,2.5,3.0,0.5,43,72,0,18,0,0,4,1,20,20,1,1,4,50,0,0,1,12,279,19,1
229,2.5,2.5,3.66666666666667,2.83333333333333,3.0,1.75,17,72,6,6,0,0,5,1,1,0,1,1,3,25,1,0,1,11,310,32,1
230,3.75,3.75,3.33333333333333,3.16666666666667,4.0,2.5,6,72,24,3,0,0,2,1,12,10,1,1,4,37,0,0,1,10,262,14,1
231,1.75,2.75,3.66666666666667,3.33333333333333,3.66666666666667,0.75,31,72,0,15,11,6,5,1,0,0,1,1,2,28,0,0,1,17,353,41,1
232,3.75,3.5,3.0,3.33333333333333,4.0,1.5,41,72,19,11,4,0,4,0,6,6,1,1,4,38,0,0,1,13,423,34,1
233,0.0,1.75,3.33333333333333,3.5,3.66666666666667,2.5,4,72,0,0,10,0,5,1,3,3,1,1,5,51,0,0,0,10,296,13,1
234,3.5,3.5,3.66666666666667,4.0,3.66666666666667,2.0,18,72,9,3,0,0,2,1,1,0,1,1,6,27,0,1,0,14,258,27,1
235,1.5,1.5,2.33333333333333,2.5,3.0,2.5,13,79,23,9,0,0,4,1,0,0,1,1,2,27,0,1,0,17,204,35,1
236,2.0,3.25,3.33333333333333,2.83333333333333,3.66666666666667,2.5,22,79,0,0,0,0,3,1,1,1,1,0,4,31,0,0,1,14,337,24,1
237,4.0,3.75,4.0,3.0,3.66666666666667,1.5,7,79,11,0,0,0,6,1,2,1,1,1,7,39,0,0,1,6,228,13,1
238,3.0,2.25,3.66666666666667,3.33333333333333,4.0,1.25,27,79,16,11,0,6,3,1,0,0,1,1,3,29,0,0,1,19,393,42,1
239,3.75,3.75,4.0,3.66666666666667,3.66666666666667,1.5,19,79,7,10,0,0,21,1,0,0,1,1,5,22,0,1,0,8,183,18,1
240,4.0,4.0,4.0,4.0,4.0,3.5,11,79,11,3,0,0,5,1,4,3,1,1,4,35,0,0,1,15,371,30,1
241,2.25,3.0,3.66666666666667,3.33333333333333,3.33333333333333,2.5,18,80,11,0,0,0,12,1,7,6,1,1,5,23,1,1,0,13,451,27,1
242,3.0,3.0,3.0,2.16666666666667,3.0,2.75,28,85,13,3,0,0,5,1,2,2,1,1,3,33,0,0,1,20,282,50,1
243,2.75,3.0,3.0,2.5,3.0,2.5,15,85,10,0,8,0,4,1,0,0,1,1,3,20,0,1,0,13,318,28,1
244,3.0,2.5,3.33333333333333,2.83333333333333,3.0,1.0,31,85,14,0,0,0,8,1,0,0,1,1,6,65,0,0,0,16,380,38,1
245,3.25,3.0,4.0,3.0,3.66666666666667,3.5,10,85,13,0,5,0,3,1,0,0,1,1,4,24,0,0,1,20,366,34,1
246,3.5,3.75,3.0,3.5,3.66666666666667,1.0,46,85,10,3,11,4,3,0,7,3,1,1,3,45,0,0,0,22,440,65,1
247,3.0,3.0,3.33333333333333,3.66666666666667,4.0,3.25,22,85,20,7,0,8,5,1,0,0,1,1,5,39,0,0,1,21,362,43,1
248,3.25,3.25,3.0,3.83333333333333,3.0,3.5,22,85,12,24,0,14,7,0,0,0,1,1,3,26,0,0,0,15,555,24,1
